offset,size,region,name_role,sections,status,pct
0x08a90,94,код B,"**WWDG decode → struct**: 0xcc1c + 0xccbc → {u32@r4, u16@+4, u8@+6}; вызов из 0x3970/0x8938",§50,разобран,100%
0x08af0,6,код B,getter byte@RAM[0xA73],§48,разобран,100%
0x08afc,14,код B,0x218c() → u32@0xF95+0xD (сохранение результата),§49,разобран,100%
0x08b10,56,код B,**ADC→мВ**: u16@0x5E × 0xCE4 / 2^20 + i8@0xA6 → u8@0x44+1,§49,разобран,100%
0x08b58,50,код B,**ADC→мВ**: u16@0x5E × 0xCE4 / 2^20 + i8@0xA6 → i8@0xFC7+8,§49,разобран,100%
0x08bec,388,код B,,,не начат,0%
0x08d90,6,код B,getter u32@RAM[0x1344],§48,разобран,100%
0x08e14,6,код B,getter byte@RAM[0x1378] (@0x1359+0x1f),§48,разобран,100%
0x08f58,26,код B,i8@0xFC8 → u16@0x135E (sign-extend),§49,разобран,100%
0x08f7c,198,код B,,,не начат,0%
0x09048,80,код B,"**I2C2-транзакция core**: 0x11d6(&buf, 0x28); 0x15640 (CRC-7-кодирование); callback *(u32@RAM[0xDD8]+0x11C)",§50,разобран,100%
0x090a0,60,код B,I2C1-транзакция: проверка *(u32@RAM[0xB60])!=0; адрес из *(u32@RAM[0xB64]); 0x1c08/0x1bd8/0x1c08(1),§49,разобран,100%
0x09134,668,код B,,,не начат,0%
0x09482,12,код B,последовательность: 0x9134 + 0x9480,§48,ID,25%
0x09678,86,код B,"флаг-хендлер: bit1(@0xB65); счётчик @0xB73 (кап 3) → clear bit1(@0xB65), byte@0xB64 &= ~0xF0",§50,разобран,100%
0x096dc,52,код B,вызов callback из структуры @0xDD8+0x114 (дефолт 0x11a4),§49,разобран,100%
0x09714,52,код B,вызов callback из структуры @0xDD8+0x110 (дефолт 0x11a4),§49,разобран,100%
0x09794,42,код B,проверка: u32 из u16(+0x14/+0x18) содержит все биты r1 (без знака),§49,разобран,100%
0x097ca,24,код B,set/clear bit0x400 в *(u16@r0),§49,разобран,100%
0x097e2,18,код B,set/clear маски r1 в *(u16@r0+4),§49,разобран,100%
0x097f4,50,код B,I2C clock OFF: base==I2C1(0x40005400) → RCC+0x10 &= ~(1<<21); иначе &= ~(1<<22) (set-then-clear = вынужденный сброс бита),§49/§50.7.3,разобран,100%
0x0982c,24,код B,set/clear bit0 в *(u16@r0),§49,разобран,100%
0x09844,24,код B,set/clear bit0x100 в *(u16@r0),§49,разобран,100%
0x0985c,24,код B,set/clear bit0x200 в *(u16@r0),§49,разобран,100%
0x09874,54,код B,проверка флага в структуре: r1<<28 ? +0x14 : +0x18; (val & r1) != 0,§49,разобран,100%
0x098ae,26,код B,"u32 из двух u16 (+0x14/+0x18), старший байт = 0",§49,разобран,100%
0x098c8,222,код B,,,не начат,0%
0x099b4,8,код B,getter byte из u16@+0x10 (uxtb ldrh),§48,разобран,100%
0x099bc,18,код B,"*(u16@r0+0x10) = (r1|1) if r2 else (r1&~1) — **r1 = входное значение**, не чтение из памяти; §50.7",§49/§50.7,разобран,100%
0x099ce,4,код B,setter u16 @+0x10 (strh),§48,разобран,100%
0x099d4,6,код B,запись r0 в @0x40003000+8,§48,разобран,100%
0x099e0,10,код B,запись 0xCCCC в @0x40003000,§48,разобран,100%
0x099f0,10,код B,запись 0xAAAA в @0x40003000 (кластер драйвера),§48,разобран,100%
0x09a00,6,код B,запись r0 в @0x40003000+4,§48,разобран,100%
0x09a0c,6,код B,запись r0 в @0x40003000,§48,разобран,100%
0x09a18,8,код B,thunk → 0x99f0 (запись 0xAAAA в @0x40003000),§48,ID,25%
0x09a20,34,код B,@0x40003000 cmd: 0x5555 → 0x9a0c; 0x9a00(6); uxth(r4) → 0x99d4; 0x99f0; 0x99e0,§49,разобран,100%
0x09a44,80,код B,**регистрация event-handlers**: flash-таблицы @0x14A65/0x149B5/0x148E5/0x14A79 (IDs 0-4) → очередь,§50,разобран,100%
0x09aa4,86,код B,"**телеметрия reset**: zero @0x1344 (0x13B) + 0x11d6(&@0x1384, 0x4A); вызов из 0x51d8 (telemetry init)",§50,разобран,100%
0x09b08,54,код B,"toggle bit3 byte@0xA71 (до 3 попыток, гейт 0x2a5c)",§49,разобран,100%
0x09b44,24,код B,init-подблок: 0x9b54() + 0x9b6c(),§49,разобран,100%
0x09f64,12,код B,последовательность: 0x9b44 + 0x9f70,§48,ID,25%
0x09f70,28,код B,init-подблок: 0x9f80(0x10) + 0x9fa4(1),§49,разобран,100%
0x0a6a4,6,код B,getter byte@RAM[0x40],§48,разобран,100%
0x0a788,96,код B,I2C read reg 0x91A4 → u16@0xF95+0x1C; вне [0x7D00..0x8CA0] → запись 0x84D0; 3 попытки,§50,разобран,100%
0x0a7ec,184,код B,,,не начат,0%
0x0a8c4,66,код B,**flash-скан 0x1C800/0x1D000**: count маркеров 0xAA (0x40 записей × 32B),§50,разобран,100%
0x0a910,70,код B,**flash-скан 0x1F000/0x1F800**: count маркеров 0xAA (0x24 записи × 32B),§50,разобран,100%
0x0a960,170,код B,,,не начат,0%
0x0aa18,170,код B,,,не начат,0%
0x0aad0,58,код B,"**CRC-16/CCITT-FALSE** (полином **0x1021**, init 0, MSB-first, без xorout) по массиву байтов; эмуляторно подтверждено (§50.7; в §49 ошибочно было 0xA001)",§49/§50.7,разобран,100%
0x0ab0c,46,код B,I2C read 0x38B + двойной poll 0xa910(0)/0xa910(1),§49,разобран,100%
0x0abf0,46,код B,I2C read 0x20B + двойной poll 0xa8c4(0)/0xa8c4(1),§49,разобран,100%
0x0acce,458,код B,,,не начат,0%
0x0af94,250,код B,,,не начат,0%
0x0b09a,244,код B,,,не начат,0%
0x0b302,362,код B,,,не начат,0%
0x0b476,80,код B,varargs batch: цикл по r5 байтов → 0x99ce; mask 0x70084; toggle bit'ы каждые 0x10000,§50,разобран,100%
0x0b4ce,96,код B,"varargs batch: 0x99bc(r4, r5); mask 0x70082/0x30002; poll 0x9794; toggle bit'ы каждые 0x10000",§50,разобран,100%
0x0b53a,64,код B,I2C-подобная транзакция с retry (poll 0x9794),§49,разобран,100%
0x0b582,72,код B,"varargs: clear bit0x400 + set bit0x200 (0x97ca/0x985c); затем reset транзакции (0xb8c8/0xb968 → если пусто: +4 |= 0x700, +0x10C=0)",§50,разобран,100%
0x0b618,56,код B,"инициал транзакции: 0xb8c8/0xb968; если пусто → *(u16@[r4]) &= ~1, +4 |= 0x700, +0x10C=0",§49,разобран,100%
0x0b854,10,код B,запись 0x10000 в struct+0x108 (caller: struct@RAM[0xdd8]),§48,разобран,100%
0x0b860,94,код B,"**I2C2 busy wait**: u32@0xEFC = 0x10000; poll byte@r4+0x10C (3 → reinit); затем 0x9874(I2C2, 0x20000)",§50,разобран,100%
0x0b8dc,128,код B,state-машина byte@r4+0x10C: 1→2 (+0x9844 bit0x100); 4: poll 0x9874(0x20000) с delay; return 3 (timeout)/0,§50,разобран,100%
0x0b978,32,код B,проверка «очередь пуста»: *(u32@RAM[0x106]) == *(u32@RAM[0x10A]),§49,разобран,100%
0x0bb14,32,код B,проверка «очередь пуста» (вариант),§49,разобран,100%
0x0bc5c,40,код B,"сборка дескриптора {ptr, 0, 0} → 0xc0b4()",§49,разобран,100%
0x0bc86,56,код B,"сборка дескриптора {ptr, 0, 0} → 0x85c8()",§49,разобран,100%
0x0bcc0,138,код B,,,не начат,0%
0x0bd50,280,код B,,,не начат,0%
0x0be6c,104,код B,"**TLV-декодер**: type byte@+1: 3 → {len=byte@+6, data} (0x11a4); 6/0x10 → 6B fixed; return длина",§50,разобран,100%
0x0befc,74,код B,"поиск в таблице @0x7C4 (2 записи): range [entry+4, entry+ptr+8] → указатель",§50,разобран,100%
0x0bf4c,12,код B,последовательность: 0xd878 + 0xddc4,§48,ID,25%
0x0bf58,184,код B,,,не начат,0%
0x0c02c,92,код B,mismatch-счётчик: bit0/bit1(@0xF70+1) vs @0xA65/@0xA66 → u16@0xA68++; ≥ 0x32 → toggle bit3(@0xF70+3); вызов из 0xc098,§50,разобран,100%
0x0c098,24,код B,init-подблок: 0x5b5a() + 0xc0a0(),§49,разобран,100%
0x0c0b4,78,код B,**NVIC IRQ enable**: приоритет-группа из SCB_CFSR(0xE000ED0C) bits 0x700; запись в [0xE000E400+irq] и [adj+0x100] — **база NVIC этого чипа = 0xE000E400**,§50,разобран,100%
0x0c138,26,код B,магия: u16@0xA7C == 0xEB04 → 1,§49,разобран,100%
0x0c158,164,код B,,,не начат,0%
0x0c200,12,код B,thunk → 0x9f64 (r3=1),§48,ID,25%
0x0c20c,134,код B,,,не начат,0%
0x0c2a8,84,код B,**system sleep**: poll [0x40007010]&2; [0x40007008]|=r1; [0x40007000]=(&~7)|2; **SCB_SCR |= 4 (SLEEPDEEP)**; WFI или SEV+WFE×2; clear SLEEPDEEP,§50,разобран,100%
0x0c304,96,код B,I2C read reg 0x91A0 → u16@0xF95+0x18; та же логика диапазона; 3 попытки,§50,разобран,100%
0x0c368,172,код B,,,не начат,0%
0x0c420,60,код B,чтение 4B из EEPROM + CRC-16 (0x8a50); буфер @0xC9C (вариант 0x3da0),§49,разобран,100%
0x0c464,20,код B,"запись структуры {u32=r1, +4=0, +5=0, +6=r2, +7=r3} → 1",§49,разобран,100%
0x0c4b4,18,код B,RCC_CFGR0[7:4] (HPRE) = r0,§49,разобран,100%
0x0c4cc,70,код B,**переключение источника тактирования**: CTLR &= ~0x50000; r0: 0x10000 → |= 0x10000; 0x40000 → |= 0x50000,§50,разобран,100%
0x0c518,34,код B,HSION on/off (RCC_CTLR bit0),§49,разобран,100%
0x0c540,58,код B,setter битов RCC+0x24 (режимы r0 0/1/4),§49,разобран,100%
0x0c580,18,код B,RCC_CFGR0[10:8] (PPRE1) = r0,§49,разобран,100%
0x0c598,20,код B,RCC_CFGR0[14:11] (PPRE2) = r0<<3,§49,разобран,100%
0x0c5b0,56,код B,комбинированный setter RCC CFGR0/CFGR2 (PLL-конфиг?),§49,разобран,100%
0x0c60c,18,код B,RCC_CFGR0[1:0] (SW — источник тактирования) = r0,§49,разобран,100%
0x0c624,26,код B,set/clear битов RCC+0x14 (AWDCR?),§49,разобран,100%
0x0c684,26,код B,set/clear битов RCC+0x10 (вкл. тактирование I2C1/I2C2: биты 21/22 из 0x97f4),§49,разобран,100%
0x0c6a4,26,код B,set/clear битов RCC+0x18 (BDCR?),§49,разобран,100%
0x0c6c4,26,код B,set/clear битов RCC+0xC (INTENR?),§49,разобран,100%
0x0c6f0,6,код B,запись в 0x42420060 — несуществующий адрес (dead code?),§48,ID,25%
0x0c708,86,код B,"**расчёт частоты тактирования**: RCC_CTLR: PLLSRC bits[19:18], HSE bit0x10000; div = 2+(bits>>18) или 0x1F0-...; если HSE ready → freq = div × 0x7A1200 (20 МГц)",§50,разобран,100%
0x0c858,52,код B,"проверка RCC-флага: группа 1=CTLR, 2=CFGR2(+0x20), иначе +0x24; бит r1&0x1f",§49,разобран,100%
0x0c894,10,код B,(RCC_CFGR0 @0x40021004) & 0xC — биты AHB-прескалера,§48,разобран,100%
0x0c8a4,56,код B,"wait CTLR bit17 (arg 0x31: group=1,bit=17), таймаут 0x2000 → 0/1 (§50.7)",§49/§50.7,разобран,100%
0x0c8dc,56,код B,"wait CTLR bit1 = HSERDY (arg 0x21: group=1,bit=1; НЕ +0x24!), таймаут 0x500 → 0/1 (§50.7)",§49/§50.7,разобран,100%
0x0c914,56,код B,"wait RCC+0x24 bit3 (arg 0x63: group=3→+0x24; НЕ CTLR!), таймаут 0x500 → 0/1 (§50.7)",§49/§50.7,разобран,100%
0x0c94c,54,код B,AFIO/EXTI-блок: 0x14958(5); 0xce4c; 0x58b0(1); 0x40010414=0x100000; 0xc9fc(1<<14); 0xc9dc(0x4000); 0xcb40(1),§49,разобран,100%
0x0c984,30,код B,поиск в таблице @0x5CC (0x3A записей) через 0x3994,§49,разобран,100%
0x0c9a8,22,код B,BCD → binary (по байтам),§49,разобран,100%
0x0c9be,28,код B,binary → BCD (по байтам),§49,разобран,100%
0x0ca3c,144,код B,,,не начат,0%
0x0cb10,42,код B,WWDG+0x24: последовательность 0xCA → 0x53 (магия?),§49,разобран,100%
0x0cb40,116,код B,WWDG: 0xCA/0x53 → +0x24; +0x8 |=/~0x400 (r1); poll +0x10&4 до 0x2000; return статус,§50,разобран,100%
0x0cbb8,68,код B,"WWDG: если !SR(+0xC) bit6 → SR=0x80, poll bit6 до 0x2000; return статус",§50,разобран,100%
0x0cc08,14,код B,WWDG @0x40002800: SR(+0xC) &= ~0x80 (EWIF?),§49,разобран,100%
0x0cc1c,68,код B,"**WWDG CFR(+4) decode**: {bits[12:10], [12:8], [5:0], [15:13]} → 4 байта; опц. BCD-декод (0xc9a8)",§50,разобран,100%
0x0cc68,76,код B,"WWDG-статус: r1 ∈ {0x20000, 0x40000, 0x80000} → [0x40002850]>>16 != 0; иначе ([0x40002808]&r1) && ([0x4000280C]&(r1>>4))",§50,разобран,100%
0x0ccbc,72,код B,"**WWDG CR(+0) decode**: {bits[15:10], [14:8], [6:0]} → 3 байта",§50,разобран,100%
0x0cd0c,110,код B,**WWDG refresh с данными**: 0xCA/0x53 → +0x24; RER(+0x8) = u32@r4; +0x10 = u32@r4+8 | (u16@r4+4)<<16; 0xcc08; delay 0x2FF,§50,разобран,100%
0x0cd80,136,код B,,,не начат,0%
0x0ce68,8,код B,thunk → 0x3168,§48,ID,25%
0x0ce70,92,код B,**WWDG window wait**: magic 0xCA/0x53 → +0x24; clear bit5([0x4000280C]); poll bit5 до 0x8000; return статус; финал 0xFF → +0x24,§50,разобран,100%
0x0ced0,16,код B,init-подблок: 0xcdd4(1) + 0xcdc8(1),§49,разобран,100%
0x0cee0,68,код B,"I2C read: {code16, len=2} → 0x1e72(dev 0x3E) — чтение регистра чипа I2C2",§50,разобран,100%
0x0cf60,84,код B,"**NVRAM verify @0x305C**: 0x8380(&buf, 0x28); CRC-16(0x26) == u16@+0x26 → u16@+0x24=1",§50,разобран,100%
0x0cfb8,78,код B,"**транзакция + CRC-16 check**: 0x8380(&@0x304C, 0x2000, 0x10) ×2 (с delay); 0x8a50 == u32@+0xC",§50,разобран,100%
0x0d00c,534,код B,,,не начат,0%
0x0d240,82,код B,"**EEPROM read+verify @0xC9C**: 0x8380(&buf, 0x30000, 8); CRC-16(4B) == u32@+4; вызов из 0xc420",§50,разобран,100%
0x0d298,46,код B,poll 0xcfb8 с задержкой 0x1F4; затем *(u32@*(u32@RAM[0x304C])) != 0,§49,разобран,100%
0x0d33c,84,код B,"счётчик @0xA67 (кап 5) → I2C read (0x1c60, 8B из @0x15F7); bit0/bit2(byte@+0x54) → byte@0xF70+1 bits 0/1",§50,разобран,100%
0x0d39c,202,код B,,,не начат,0%
0x0d46c,182,код B,,,не начат,0%
0x0d534,152,код B,,,не начат,0%
0x0d5d4,146,код B,,,не начат,0%
0x0d670,110,код B,"**EEPROM block read**: 0x11d6(&buf, 0x30); 0x8938; retry 0xab0c ×3; CRC-16(0x8a50) → buf+0x22; memcpy 0x20B; 0xaccc; save 3×u32",§50,разобран,100%
0x0d6e4,36,код B,one-shot флаг u32@0x8C bit0xA: если не стоит — поставить и bl 0xd75c; one-shot флаг u32@0x8C bit0xB: если не стоит — поставить и bl 0xd75c,§49,разобран,100%
0x0d70c,36,код B,one-shot флаг u32@0x8C bit0xC: если не стоит — поставить и bl 0xd75c,§49,разобран,100%
0x0d734,36,код B,one-shot флаг u32@0x8C bit0xD: если не стоит — поставить и bl 0xd75c; one-shot флаг u32@0x8C bit0xE: если не стоит — поставить и bl 0xd75c,§49,разобран,100%
0x0d75c,36,код B,one-shot флаг u32@0x8C bit0xF: если не стоит — поставить и bl 0xd75c,§49,разобран,100%
0x0d784,36,код B,one-shot флаг u32@0x8C bit0x10: если не стоит — поставить и bl 0xd75c,§49,разобран,100%
0x0d7ac,36,код B,one-shot флаг u32@0x8C bit0x12: если не стоит — поставить и bl 0xd75c,§49,разобран,100%
0x0d7d4,36,код B,one-shot флаг u32@0x8C bit0x13: если не стоит — поставить и bl 0xd75c,§49,разобран,100%
0x0d7fc,36,код B,clear bit0xC u32@0x8C если 0xd46c(0xC)==1,§49,разобран,100%
0x0d824,36,код B,clear bit0xA u32@0x8C если 0xd46c(0xA)==1,§49,разобран,100%
0x0d850,36,код B,clear bit0x12 u32@0x8C если 0xd39c(0x12)==1,§49,разобран,100%
0x0d878,190,код B,,,не начат,0%
0x0d938,970,код B,,,не начат,0%
0x0dd2c,84,код B,"**clamp-умножение**: q = clamp((r3-r0)/r1, 0, r2) с округлением; return r1*q + r0",§50,разобран,100%
0x0ddc4,58,код B,**OTA-команда от хоста**: u16@0x124E+0x12==0xE0 && +0x14==0x5AA5 → erase @0x1D800 + 0xdd80; ==0xE2 → 0xdd80 (магия 0x5AA5),§49,разобран,100%
0x0de0a,196,код B,,,не начат,0%
0x0ded4,54,код B,**varargs**: если byte[1]==3 → u32 из 4 байтов → *(u32@RAM[0xFE7])+2 = value; return 1,§49,разобран,100%
0x0df10,338,код B,,,не начат,0%
0x0e160,24,код B,поиск в flash-таблице строк @0x19E98+0x140 через 0x16880/0x16aa2,§49,разобран,100%
0x0e17c,128,код B,"**fixed-point расчёт**: 0xe160 (поиск) + 0x16222 (div); (v*0x98B...)/0x2710 × ..., clamp [-0x2710, 0x2710] → u16",§50,разобран,100%
0x0e200,198,код B,,,не начат,0%
0x0e2cc,44,код B,range-check смещения по flash-строке @0x19F50+0x59F через 0x16d8e → byte,§49,разобран,100%
0x0e2fc,104,код B,"**мульти-интерполяция**: 0x17306(t@0x19FE6, 0x1A) + 0x1736a(|v|, t@0x19EB4, 3) + 0x17306(v2, t@0x19FE6+0x36, 4) → 0x16588 → u16; вызов из мотор-региона 0x69E4",§50,разобран,100%
0x0e36c,114,код B,"**fixed-point lerp с насыщением**: |a-b| ≥ 0x2710 → 0; иначе (b*0x2710 - (0x2710-a)*...)/0x2710, clamp [-0x8000, 0x7FFF]",§50,разобран,100%
0x0e3e4,6,код B,"setter u16 = 0 (strh #0,[r0])",§48,разобран,100%
0x0e3ec,24,код B,поиск в flash-таблице строк @0x19FAC+0x8A через 0x16880/0x16aa2,§49,разобран,100%
0x0e408,566,код B,slew-лимитер → u16@RAM[0x1357] (duty% = byte@0xFD3),"§39, §41",разобран,100%
0x0e658,136,код B,round-robin диспетчер 6 задач (TBB @0xE684),§39.5b,разобран,100%
0x0e6ec,18,код B,if byte@RAM[0x13C9]==1 → bl 0xf14c (не function-pointer; эмуляторно подтверждено §50.7),§49/§50.7,разобран,100%
0x0e704,54,код B,**clamp |v|≤0xC8**: иначе обнулить byte@0x12BA+0x56; вызов 0x1654c; вызов из 0x07A30 (§41 slot-3),§49,разобран,100%
0x0e740,190,код B,,,не начат,0%
0x0e808,592,код B,,,не начат,0%
0x0ea64,504,код B,,,не начат,0%
0x0ec70,352,код B,,,не начат,0%
0x0eddc,98,код B,"**верификация @0x304C**: range-check'и (0x1F4/0x21000/flash 0x25E20); сбой → reset {0, 0x21000, 0x21000} + 0x1570c",§50,разобран,100%
0x0ee48,298,код B,,,не начат,0%
0x0ef78,140,код B,,,не начат,0%
0x0f038,262,код B,,,не начат,0%
0x0f14c,156,код B,,,не начат,0%
0x0f1ec,78,код B,порог #1: u16@0xF95+6 vs flash 0x19D8E+0xA; счётчик @0xA22 (кап +0xE); toggle bit1(@0xF70+2) + 0x156ac,§50,разобран,100%
0x0f290,94,код B,"счётчик #8: u32@0xFBB+4 ≥ 0x3E8 && !флаги && byte@0x107==1 → u16@0xA2E++; ≥ 0x12C → toggle bit2(@0xF70+2), reset; вызов из 0x11978",§50,разобран,100%
0x0f304,88,код B,"счётчик #7: u32@0xFBB+4 ≥ 0x3E8 && !флаги → u16@0xA30++; ≥ 0x12C → toggle bit3(@0xF70+2), reset; вызов из 0x11978",§50,разобран,100%
0x0f36c,80,код B,"порог #3: i8@0xFC7+8 ∈ [-0x1E, 0x64]; счётчик @0xA36 (кап 0x32); toggle bit3(@0xFC7+9)",§50,разобран,100%
0x0f40c,116,код B,порог #5: |u16@0xF95+8 - u16@0xF95+6| ≥ flash 0x19D8E+0x12 && u16@0xF95+6 ≤ 0xC1C; счётчик @0xA2A (кап +0x16); toggle bit4(@0xF70+2),§50,разобран,100%
0x0f5c4,102,код B,"порог #4: i8@0x44 и i8@0x44+1 ∈ [-0x1E, 0x64]; счётчик @0xA3A (кап 0x32); toggle bit6(@0xFC7+6)",§50,разобран,100%
0x0f694,746,код B,,,не начат,0%
0x0f994,564,код B,,,не начат,0%
0x0fbf8,190,код B,,,не начат,0%
0x0fcd0,194,код B,,,не начат,0%
0x0fdac,174,код B,,,не начат,0%
0x0fe74,174,код B,,,не начат,0%
0x10468,166,код C,,,не начат,0%
0x10524,78,код C,порог #2: i8@0xFC7+8 vs flash 0x19E1C+0x30; счётчик @0x9E4 (кап +0x31); toggle bit1(@0xFC7+9),§50,разобран,100%
0x105c4,194,код C,,,не начат,0%
0x106a0,24,код C,set/clear bit0x40 в *(u16@r0),§49,разобран,100%
0x106b8,28,код C,"SPI1-инициал: SPI_CTLR |= 0x10, RCC |= 0x400, SPI+0x4=0x80, 0x5a6c()",§49,разобран,100%
0x106d8,54,код C,SPI1 (0x40013000) / SPI-2 (0x40013C00): вкл/выкл через RCC+0xC биты (base>>12),§49,разобран,100%
0x10718,18,код C,проверка: *(u16@r0+8) & r1 != 0,§49,разобран,100%
0x1072a,6,код C,getter u16 @+0xc (ldrh),§48,разобран,100%
0x10730,4,код C,setter u16 @+0xc (strh),§48,разобран,100%
0x10734,60,код C,SPI-конфиг: merge u16-флагов из структуры → SPI-регистр; вызов 0x10788,§49,разобран,100%
0x10770,16,код C,"SPI1-инициал: SPI_CTLR |= 0x40, RCC |= 0x1000, SPI+0x4=0x80, 0x5a6c()",§49,разобран,100%
0x10780,8,код C,thunk → 0x10788,§48,ID,25%
0x10788,92,код C,"**SPI1 full init**: 0x107ec (GPIOA EXTI); GPIOA pin 0x10; struct {0, 0x104, 0, 2, 1, 0x200, 8, 0, 7} → 0x10734(0x40013000); 0x106a0 — **SPI1 = 0x40013000**",§50,разобран,100%
0x107ec,126,код C,"**GPIOA EXTI init**: 0x87b0(&local); RCC BDCR |= 4|0x1001; 4× {mode u16 (0x20/0x80/0x40/0x10), byte, count} → 0x85c8(GPIOA)",§50,разобран,100%
0x10870,98,код C,**SPI1 read**: poll SPI1+8 bit2 (0x10718) до 0x8000; 0x10730(r5); delay 0xA; poll bit0; 0x1072a() → byte,§50,разобран,100%
0x1093c,118,код C,**NVRAM→RAM копия + порог**: byte@0x4A[0..5] → @0xFC7; если i8@+2 > i8@+5: счётчик @0x60 (кап 0xA) → sync + u32@0x8C |= 0x1000,§50,разобран,100%
0x10a20,8,код C,thunk → 0x112bc,§48,ID,25%
0x10a5c,50,код C,event: u16@0x1048 → 0xcd80(1) + 0xcda4(),§49,разобран,100%
0x10abc,60,код C,"включение HSE (CTLR bit0) + ожидание HSERDY (bit1), таймаут 0x500; fallback-константа 0x3D0900 → @0xB88",§49,разобран,100%
0x10ba0,160,код C,,,не начат,0%
0x10cdc,152,код C,,,не начат,0%
0x110f0,10,код D,thunk → 0x5b8c(r0=0),§48,ID,25%
0x110fc,400,код D,,,не начат,0%
0x11350,30,код D,обнуление кластера счётчиков @0xA55..; гейт bit7(u16@0xF95+0xC),§49,разобран,100%
0x11668,12,код D,thunk → 0x10e5c,§48,ID,25%
0x11674,168,код D,,,не начат,0%
0x11724,166,код D,,,не начат,0%
0x117d4,172,код D,,,не начат,0%
0x11888,12,код D,thunk → 0x10f18,§48,ID,25%
0x11894,204,код D,,,не начат,0%
0x11978,32,код D,init-подблок: 0x11988(0x80) + 0x119a0(),§49,разобран,100%
0x11998,44,код D,**инициал-цепочка из 10 вызовов** (0xfbf8..0xff3c),§49,разобран,100%
0x119c4,32,код D,init-подблок: 0x119d4() + 0x119ec(),§49,разобран,100%
0x119e4,434,код D,,,не начат,0%
0x11bac,130,код D,,,не начат,0%
0x11c3c,34,код D,I2C init: 0x5a38() + задержка 0x29BC + 0x1c1c(0x1F4),§49,разобран,100%
0x11c5e,38,код D,I2C init: 0x5a38() + задержка 0x9239 + 0x1c1c(0x1F4),§49,разобран,100%
0x11cac,8,код D,thunk → 0x4c14,§48,ID,25%
0x11cb4,188,код D,,,не начат,0%
0x11d98,58,код D,state machine byte@0x2E: 0→1+инициал; 2/3/4/5→сброс в 0 с вызовами; копия в @0xF70+5/6,§49,разобран,100%
0x11de8,1410,код D,,,не начат,0%
0x1238c,48,код D,state machine byte@0x35: 0→1+инициал; 2/3/4/5→сброс в 0 с вызовами,§49,разобран,100%
0x123c0,10,код D,запись 0x10000 в struct@RAM[0xdd8]+0x108 (через 0xb854),§48,разобран,100%
0x12804,40,код E,"поиск в flash-таблице @0x19B3C (u16, шаг 2): код 0x82/0xE/0x65",§49,разобран,100%
0x128c8,18,код E,"EEPROM-запись: 0x50b0(&@0x44, 2); 0x1093c()",§49,разобран,100%
0x128e4,114,код E,"state-машина byte@0xB5A: 0x4c84(3, 0x64); 0x1238c(); states 0..3 → 0x1274c/0x12778/0x1277a/0x1277c; счётчик кап 5; TBB по @0xB59 (<0xA, таблица повреждена)",§50,разобран,100%
0x129b4,46,код E,"state dispatch: 0x4c84(1, 10); 0x12470(); TBB по byte@0xB58 (<0xA) — таблица повреждена/обфусцирована; затем @0xB58=0",§49,разобран,100%
0x12a64,18,код E,"0x4c84(0, 1); 0x124c0() — очередь/событие",§49,разобран,100%
0x12a78,110,код E,"state-машина byte@0xB5B: 0x4c84(4, 0x1F4); states 0..3 → пары (0x12680/0x126d8, 0x1269c/0x12710, 0x12680/0x12738, 0x1269c/0x1273a); счётчик кап 4",§50,разобран,100%
0x12aec,96,код E,I2C read reg 0x91A2 → u16@0xF95+0x1A; та же логика диапазона; 3 попытки,§50,разобран,100%
0x12b50,190,код E,,,не начат,0%
0x12c24,56,код E,"счётчик с насыщением: u16@0xB7A++, кап 0xC8; гейт bit0(u32@0xB76)",§49,разобран,100%
0x12d04,134,код E,,,не начат,0%
0x12d90,190,код E,,,не начат,0%
0x12e64,56,код E,"счётчик с насыщением: u16@0xB7C++, кап 0xC8; гейт bit2(u32@0xB76)",§49,разобран,100%
0x12f44,134,код E,,,не начат,0%
0x12fd0,8,код E,thunk → 0x12b50,§48,ID,25%
0x12fd8,8,код E,thunk → 0x12d90,§48,ID,25%
0x12fe0,66,код E,"**generic u32 flag set/clear**: группа r1>>5&7 (1→+0xC, 2→+0x10, иначе +0x14); бит r1&0x1F",§50,разобран,100%
0x1302c,134,код E,init/драйвер трёх USART,§6.5,частично,50%
0x130f2,80,код E,**generic u32 flag check**: та же группа; оба бита (низкий + высокий r1>>8) должны быть set,§50,разобран,100%
0x13148,168,код E,,,не начат,0%
0x131fc,130,код E,,,не начат,0%
0x13284,130,код E,,,не начат,0%
0x1330c,106,код E,"**транзакция + CRC-8 check**: 0x8380(&buf, 0x50000/0x51000, 8); 0x87f8(buf, 7) == byte@buf+0xB → 0x10a5c (event)",§50,разобран,100%
0x1337c,1472,код E,,,не начат,0%
0x1395c,36,код E,обработчик флага: byte@0xCAC → byte@0xA73 (сброс после обработки),§49,разобран,100%
0x139ac,14,код E,CMD: {u32=3} → 0x13c78 (отправка),§49,разобран,100%
0x139fc,226,код E,,,не начат,0%
0x13b14,72,код E,"транзакция + CRC-8 check @0x30DD (0x8380(&buf, 0x20); 0x87f8(buf, 0x18) == byte@buf+0x18)",§50,разобран,100%
0x13b60,84,код E,"**NVRAM verify @0x30CF**: 0x8380(&buf, 0x40000, 0xE); CRC-16(0xA) == u32@+0xA",§50,разобран,100%
